symbol,entry_time,entry_price,direction,exit_time,exit_price,exit_reason,R_outcome
ATOMUSDT,2026-01-09T06:30:00+00:00,2.471,LONG,2026-01-09T20:15:00+00:00,2.6082478009276056,TP2,2.0
OPUSDT,2026-01-09T10:15:00+00:00,0.3137,SHORT,2026-01-09T11:00:00+00:00,0.31591174878501943,SL,-1.0
LINKUSDT,2026-01-09T12:00:00+00:00,13.131,SHORT,2026-01-09T13:15:00+00:00,13.217768762072698,SL,-1.0
ETHUSDT,2026-01-09T14:00:00+00:00,3080.09,SHORT,2026-01-09T15:15:00+00:00,3101.2041495781946,SL,-1.0
AVAXUSDT,2026-01-09T14:30:00+00:00,13.685,SHORT,2026-01-09T15:15:00+00:00,13.847508808483752,SL,-1.0
XRPUSDT,2026-01-09T14:30:00+00:00,2.0847,SHORT,2026-01-09T15:15:00+00:00,2.102752856423487,SL,-1.0
DOTUSDT,2026-01-10T04:00:00+00:00,2.0792,SHORT,2026-01-10T05:30:00+00:00,2.092193039257644,SL,-1.0
APTUSDT,2026-01-10T05:45:00+00:00,1.8057,SHORT,2026-01-10T06:30:00+00:00,1.8143196651914792,SL,-1.0
DOGEUSDT,2026-01-10T05:45:00+00:00,0.14004,SHORT,2026-01-10T06:45:00+00:00,0.14004,TP1,0.75
SUIUSDT,2026-01-10T08:15:00+00:00,1.7973,SHORT,2026-01-10T08:45:00+00:00,1.8084698879267433,SL,-1.0
ADAUSDT,2026-01-10T18:45:00+00:00,0.3892,SHORT,2026-01-10T19:30:00+00:00,0.3909567057214157,SL,-1.0
INJUSDT,2026-01-10T19:00:00+00:00,5.282,LONG,2026-01-10T21:45:00+00:00,5.217508977023519,SL,-1.0
ARBUSDT,2026-01-11T00:30:00+00:00,0.2065,SHORT,2026-01-11T00:45:00+00:00,0.2073145358011933,SL,-1.0
NEARUSDT,2026-01-11T00:30:00+00:00,1.6833,SHORT,2026-01-11T00:45:00+00:00,1.6921973262337664,SL,-1.0
TIAUSDT,2026-01-11T00:30:00+00:00,0.5459,SHORT,2026-01-11T00:45:00+00:00,0.5484395465844116,SL,-1.0
ATOMUSDT,2026-01-11T03:45:00+00:00,2.607,LONG,2026-01-11T04:00:00+00:00,2.5872503926116255,SL,-1.0
OPUSDT,2026-01-11T07:15:00+00:00,0.3202,LONG,2026-01-11T13:30:00+00:00,0.3202,TP1,0.75
APTUSDT,2026-01-11T14:30:00+00:00,1.8073,SHORT,2026-01-11T14:45:00+00:00,1.8136440863385006,SL,-1.0
TIAUSDT,2026-01-11T17:00:00+00:00,0.5584,LONG,2026-01-11T17:30:00+00:00,0.5529570876306875,SL,-1.0
SOLUSDT,2026-01-11T18:45:00+00:00,139.96,LONG,2026-01-11T20:00:00+00:00,138.94292217648533,SL,-1.0
ADAUSDT,2026-01-11T22:45:00+00:00,0.3876,SHORT,2026-01-11T23:15:00+00:00,0.3906369895081471,SL,-1.0
XRPUSDT,2026-01-11T22:45:00+00:00,2.0602,SHORT,2026-01-11T23:15:00+00:00,2.0602,TP1,0.75
NEARUSDT,2026-01-12T02:00:00+00:00,1.7306,LONG,2026-01-12T08:30:00+00:00,1.696425251297186,SL,-1.0
ATOMUSDT,2026-01-12T06:45:00+00:00,2.627,LONG,2026-01-12T07:30:00+00:00,2.6089801632972955,SL,-1.0
LTCUSDT,2026-01-12T12:45:00+00:00,76.33,SHORT,2026-01-13T12:45:00+00:00,76.69,timeout,0.0
AVAXUSDT,2026-01-12T13:00:00+00:00,13.582,SHORT,2026-01-12T14:30:00+00:00,13.582,TP1,0.75
OPUSDT,2026-01-12T17:15:00+00:00,0.3144,SHORT,2026-01-13T04:00:00+00:00,0.3144,TP1,0.75
APTUSDT,2026-01-12T18:30:00+00:00,1.7656,SHORT,2026-01-13T04:00:00+00:00,1.7899556249113249,SL,-1.0
ARBUSDT,2026-01-12T18:30:00+00:00,0.2021,SHORT,2026-01-13T05:15:00+00:00,0.20523007627157738,SL,-1.0
TIAUSDT,2026-01-12T18:30:00+00:00,0.5376,SHORT,2026-01-13T05:15:00+00:00,0.5473483171338976,SL,-1.0
BTCUSDT,2026-01-12T19:15:00+00:00,91788.8,LONG,2026-01-12T20:30:00+00:00,91511.1939271321,SL,-1.0
INJUSDT,2026-01-12T20:15:00+00:00,5.063,SHORT,2026-01-13T02:00:00+00:00,5.063,TP1,0.75
XRPUSDT,2026-01-13T01:15:00+00:00,2.0553,SHORT,2026-01-13T05:15:00+00:00,2.0637356441436,SL,-1.0
LINKUSDT,2026-01-13T02:30:00+00:00,13.078,SHORT,2026-01-13T04:00:00+00:00,13.152217912760817,SL,-1.0
SUIUSDT,2026-01-13T02:30:00+00:00,1.7565,SHORT,2026-01-13T03:15:00+00:00,1.7675574592781664,SL,-1.0
LTCUSDT,2026-01-13T17:45:00+00:00,76.66,SHORT,2026-01-13T22:00:00+00:00,77.67198545353952,SL,-1.0
DOTUSDT,2026-01-13T21:30:00+00:00,2.2416,LONG,2026-01-13T22:00:00+00:00,2.2881988586967257,TP2,2.0
TIAUSDT,2026-01-14T00:45:00+00:00,0.6109,LONG,2026-01-14T03:15:00+00:00,0.6030163264912105,SL,-1.0
SOLUSDT,2026-01-14T02:00:00+00:00,146.16,LONG,2026-01-14T05:45:00+00:00,144.4086275507643,SL,-1.0
NEARUSDT,2026-01-14T03:30:00+00:00,1.8576,LONG,2026-01-14T04:00:00+00:00,1.846915212579342,SL,-1.0
SUIUSDT,2026-01-14T03:30:00+00:00,1.8781,LONG,2026-01-14T04:30:00+00:00,1.8638353890546,SL,-1.0
ATOMUSDT,2026-01-14T06:30:00+00:00,2.661,LONG,2026-01-14T12:45:00+00:00,2.6301872839664706,SL,-1.0
DOGEUSDT,2026-01-14T06:45:00+00:00,0.14811,LONG,2026-01-14T10:15:00+00:00,0.1471348412038175,SL,-1.0
INJUSDT,2026-01-14T06:45:00+00:00,5.634,LONG,2026-01-14T11:00:00+00:00,5.575048241683893,SL,-1.0
OPUSDT,2026-01-14T08:00:00+00:00,0.3616,LONG,2026-01-14T13:45:00+00:00,0.3585952426276325,SL,-1.0
UNIUSDT,2026-01-14T10:00:00+00:00,5.813,LONG,2026-01-14T10:15:00+00:00,5.772073638250515,SL,-1.0
XRPUSDT,2026-01-14T17:00:00+00:00,2.1643,LONG,2026-01-14T17:30:00+00:00,2.1524196912903384,SL,-1.0
LINKUSDT,2026-01-14T20:00:00+00:00,14.269,LONG,2026-01-14T21:45:00+00:00,14.160632497589663,SL,-1.0
APTUSDT,2026-01-14T20:45:00+00:00,1.9358,LONG,2026-01-14T22:30:00+00:00,1.920549564783714,SL,-1.0
ARBUSDT,2026-01-14T20:45:00+00:00,0.2193,LONG,2026-01-14T22:30:00+00:00,0.2174750376761094,SL,-1.0
ETHUSDT,2026-01-14T23:00:00+00:00,3361.79,LONG,2026-01-15T00:15:00+00:00,3336.504220265271,SL,-1.0
ATOMUSDT,2026-01-15T08:15:00+00:00,2.524,SHORT,2026-01-16T08:15:00+00:00,2.499,timeout,0.75
INJUSDT,2026-01-15T09:15:00+00:00,5.347,LONG,2026-01-15T10:15:00+00:00,5.347,TP1,0.75
OPUSDT,2026-01-15T09:15:00+00:00,0.3523,LONG,2026-01-15T12:00:00+00:00,0.3615715457576992,TP2,2.0
ADAUSDT,2026-01-15T12:00:00+00:00,0.4055,LONG,2026-01-15T14:30:00+00:00,0.4055,TP1,0.75
DOTUSDT,2026-01-15T12:00:00+00:00,2.2082,LONG,2026-01-15T14:30:00+00:00,2.2082,TP1,0.75
UNIUSDT,2026-01-15T14:15:00+00:00,5.477,SHORT,2026-01-15T15:30:00+00:00,5.355351093414431,TP2,2.0
NEARUSDT,2026-01-15T17:45:00+00:00,1.7266,SHORT,2026-01-16T08:30:00+00:00,1.7539202140038492,SL,-1.0
TIAUSDT,2026-01-15T17:45:00+00:00,0.5613,SHORT,2026-01-16T17:45:00+00:00,0.5511,timeout,0.75
XRPUSDT,2026-01-16T00:45:00+00:00,2.0811,SHORT,2026-01-16T04:30:00+00:00,2.058526742258592,TP2,2.0
AVAXUSDT,2026-01-16T07:15:00+00:00,13.778,SHORT,2026-01-16T08:15:00+00:00,13.840783332547142,SL,-1.0
ARBUSDT,2026-01-16T13:00:00+00:00,0.20859,SHORT,2026-01-16T14:15:00+00:00,0.2093416182909847,SL,-1.0
NEARUSDT,2026-01-16T18:30:00+00:00,1.6908,SHORT,2026-01-16T20:30:00+00:00,1.7034123852605512,SL,-1.0
